condition,dataset_source,hours_after_sunset,bat_landing_to_food,seconds_after_rat_arrival,metric_type,bat_landing_number,food_availability
rat_present,individual_events,5.341666667,2.0,187.0,individual_behavior,,
rat_present,individual_events,5.346388889,1.0,204.0,individual_behavior,,
rat_present,individual_events,5.406388889,2.0,420.0,individual_behavior,,
rat_present,individual_events,5.410277778,9.0,434.0,individual_behavior,,
rat_present,individual_events,5.431944444,0.061201372,512.0,individual_behavior,,
rat_present,individual_events,5.433611111,1.0,518.0,individual_behavior,,
control,individual_events,9.771666667,31.0,499.0,individual_behavior,,
rat_present,individual_events,12.09194444,1.0,225.0,individual_behavior,,
control,individual_events,0.9225,0.050105814,54.0,individual_behavior,,
control,individual_events,2.085833333,1.0,30.0,individual_behavior,,
rat_present,individual_events,2.097222222,0.085595674,71.0,individual_behavior,,
rat_present,individual_events,1.440277778,6.0,179.0,individual_behavior,,
control,individual_events,1.446388889,6.0,201.0,individual_behavior,,
rat_present,individual_events,1.479722222,1.0,321.0,individual_behavior,,
rat_present,individual_events,1.274722222,3.0,77.0,individual_behavior,,
control,individual_events,1.265,155.0,42.0,individual_behavior,,
control,individual_events,1.491111111,1.0,856.0,individual_behavior,,
control,individual_events,1.5125,1.0,933.0,individual_behavior,,
rat_present,individual_events,0.592777778,29.0,22.0,individual_behavior,,
rat_present,individual_events,1.260555556,4.0,3.0,individual_behavior,,
control,individual_events,6.072222222,1.0,77.0,individual_behavior,,
control,individual_events,6.081388889,1.0,110.0,individual_behavior,,
control,individual_events,6.121111111,6.0,253.0,individual_behavior,,
rat_present,individual_events,4.860277778,2.0,25.0,individual_behavior,,
rat_present,individual_events,4.903611111,16.0,181.0,individual_behavior,,
rat_present,individual_events,4.909166667,2.0,201.0,individual_behavior,,
control,individual_events,4.910555556,1.0,206.0,individual_behavior,,
rat_present,individual_events,4.922777778,0.07570842,250.0,individual_behavior,,
control,individual_events,7.078055556,0.057540536,157.0,individual_behavior,,
rat_present,individual_events,8.078333333,3.0,6.0,individual_behavior,,
rat_present,individual_events,3.771111111,5.0,222.0,individual_behavior,,
rat_present,individual_events,4.236666667,1.0,68.0,individual_behavior,,
rat_present,individual_events,4.238611111,2.0,75.0,individual_behavior,,
rat_present,individual_events,4.368333333,1.0,6.0,individual_behavior,,
control,individual_events,4.390555556,6.0,86.0,individual_behavior,,
rat_present,individual_events,4.392222222,4.0,92.0,individual_behavior,,
rat_present,individual_events,4.404722222,13.0,137.0,individual_behavior,,
rat_present,individual_events,4.409722222,1.0,155.0,individual_behavior,,
control,individual_events,4.410555556,2.0,158.0,individual_behavior,,
rat_present,individual_events,4.428888889,1.0,224.0,individual_behavior,,
rat_present,individual_events,7.1725,1.0,35.0,individual_behavior,,
control,individual_events,7.794722222,5.0,7.0,individual_behavior,,
rat_present,individual_events,8.544444444,0.04438061,105.0,individual_behavior,,
rat_present,individual_events,8.551944444,3.0,132.0,individual_behavior,,
control,individual_events,8.5825,1.0,242.0,individual_behavior,,
control,individual_events,8.59,6.0,269.0,individual_behavior,,
rat_present,individual_events,8.594722222,24.0,286.0,individual_behavior,,
control,individual_events,2.05,0.097399911,13.0,individual_behavior,,
rat_present,individual_events,3.370555556,2.0,20.0,individual_behavior,,
rat_present,individual_events,3.374722222,1.0,35.0,individual_behavior,,
rat_present,individual_events,3.376666667,2.0,42.0,individual_behavior,,
control,individual_events,0.247777778,0.050211363,139.0,individual_behavior,,
control,individual_events,3.795555556,3.0,2.0,individual_behavior,,
control,individual_events,3.815277778,2.0,73.0,individual_behavior,,
control,individual_events,3.824166667,1.0,105.0,individual_behavior,,
control,individual_events,3.831111111,2.0,130.0,individual_behavior,,
control,individual_events,5.849444444,4.0,71.0,individual_behavior,,
rat_present,individual_events,5.883055556,0.046019395,192.0,individual_behavior,,
control,individual_events,5.890833333,9.0,220.0,individual_behavior,,
control,individual_events,5.896111111,18.0,239.0,individual_behavior,,
rat_present,individual_events,5.899166667,14.0,250.0,individual_behavior,,
rat_present,individual_events,5.903055556,2.0,264.0,individual_behavior,,
control,individual_events,5.903333333,3.0,265.0,individual_behavior,,
rat_present,individual_events,5.907222222,12.0,279.0,individual_behavior,,
control,individual_events,5.911666667,15.0,295.0,individual_behavior,,
control,individual_events,5.948055556,2.0,426.0,individual_behavior,,
rat_present,individual_events,5.955277778,34.0,452.0,individual_behavior,,
rat_present,individual_events,5.970555556,11.0,507.0,individual_behavior,,
control,individual_events,7.385833333,0.013008356,29.0,individual_behavior,,
control,individual_events,7.415277778,2.0,135.0,individual_behavior,,
rat_present,individual_events,7.43,2.0,188.0,individual_behavior,,
rat_present,individual_events,7.469166667,0.028276798,329.0,individual_behavior,,
rat_present,individual_events,8.347222222,4.0,46.0,individual_behavior,,
control,individual_events,9.436944444,2.0,108.0,individual_behavior,,
rat_present,individual_events,5.497777778,25.0,517.0,individual_behavior,,
control,individual_events,6.976944444,3.0,537.0,individual_behavior,,
control,individual_events,5.495,1.0,507.0,individual_behavior,,
control,individual_events,6.986666667,0.064154735,572.0,individual_behavior,,
rat_present,individual_events,3.06,10.0,381.0,individual_behavior,,
rat_present,individual_events,3.075277778,8.0,436.0,individual_behavior,,
control,individual_events,3.079166667,2.0,450.0,individual_behavior,,
rat_present,individual_events,3.080555556,6.0,455.0,individual_behavior,,
control,individual_events,3.086666667,2.0,477.0,individual_behavior,,
control,individual_events,3.109166667,0.030293066,558.0,individual_behavior,,
rat_present,individual_events,3.138055556,7.0,662.0,individual_behavior,,
rat_present,individual_events,3.141111111,6.0,673.0,individual_behavior,,
control,individual_events,3.139722222,18.0,668.0,individual_behavior,,
rat_present,individual_events,3.147222222,17.0,695.0,individual_behavior,,
control,individual_events,4.189444444,1.0,128.0,individual_behavior,,
control,individual_events,4.259722222,6.0,381.0,individual_behavior,,
control,individual_events,4.708055556,2.0,80.0,individual_behavior,,
control,individual_events,4.735,1.0,177.0,individual_behavior,,
rat_present,individual_events,4.747777778,11.0,223.0,individual_behavior,,
control,individual_events,4.750833333,3.0,234.0,individual_behavior,,
control,individual_events,4.752222222,25.0,239.0,individual_behavior,,
rat_present,individual_events,4.751944444,6.0,238.0,individual_behavior,,
rat_present,individual_events,4.758611111,3.0,262.0,individual_behavior,,
rat_present,individual_events,4.765555556,11.0,287.0,individual_behavior,,
control,individual_events,4.784444444,15.0,355.0,individual_behavior,,
rat_present,individual_events,4.785833333,6.0,360.0,individual_behavior,,
control,individual_events,6.003888889,0.069936967,53.0,individual_behavior,,
control,individual_events,6.011944444,1.0,82.0,individual_behavior,,
control,individual_events,6.016388889,1.0,98.0,individual_behavior,,
control,individual_events,6.017222222,4.0,101.0,individual_behavior,,
rat_present,individual_events,6.020277778,0.036982956,112.0,individual_behavior,,
rat_present,individual_events,6.0225,1.0,120.0,individual_behavior,,
control,individual_events,6.024722222,2.0,128.0,individual_behavior,,
control,individual_events,6.039166667,4.0,180.0,individual_behavior,,
rat_present,individual_events,6.053611111,3.0,232.0,individual_behavior,,
control,individual_events,6.066111111,2.0,277.0,individual_behavior,,
rat_present,individual_events,6.087222222,19.0,353.0,individual_behavior,,
control,individual_events,6.11,3.0,435.0,individual_behavior,,
control,individual_events,6.159166667,6.0,612.0,individual_behavior,,
control,individual_events,6.185833333,1.0,708.0,individual_behavior,,
rat_present,individual_events,6.205,9.0,777.0,individual_behavior,,
rat_present,individual_events,6.213055556,23.0,806.0,individual_behavior,,
control,individual_events,6.24,1.0,903.0,individual_behavior,,
control,individual_events,6.249166667,155.0,936.0,individual_behavior,,
control,individual_events,2.358611111,3.0,90.0,individual_behavior,,
control,individual_events,2.438055556,3.0,376.0,individual_behavior,,
control,individual_events,2.459166667,2.0,452.0,individual_behavior,,
control,individual_events,4.395833333,2.0,12.0,individual_behavior,,
rat_present,individual_events,4.401111111,9.0,31.0,individual_behavior,,
control,individual_events,4.408611111,4.0,58.0,individual_behavior,,
rat_present,individual_events,4.444444444,5.0,187.0,individual_behavior,,
rat_present,individual_events,4.447222222,4.0,197.0,individual_behavior,,
control,individual_events,4.454722222,1.0,224.0,individual_behavior,,
rat_present,individual_events,4.479166667,48.0,312.0,individual_behavior,,
control,individual_events,4.479166667,3.0,312.0,individual_behavior,,
rat_present,individual_events,4.504166667,0.010238211,402.0,individual_behavior,,
control,individual_events,4.558333333,2.0,597.0,individual_behavior,,
rat_present,individual_events,4.656111111,2.0,949.0,individual_behavior,,
rat_present,individual_events,5.788055556,3.0,12.0,individual_behavior,,
control,individual_events,5.791666667,4.0,25.0,individual_behavior,,
rat_present,individual_events,5.801111111,22.0,59.0,individual_behavior,,
control,individual_events,5.802222222,2.0,63.0,individual_behavior,,
control,individual_events,5.811666667,2.0,97.0,individual_behavior,,
control,individual_events,5.815833333,2.0,112.0,individual_behavior,,
rat_present,individual_events,5.830555556,59.0,165.0,individual_behavior,,
control,individual_events,5.845,4.0,217.0,individual_behavior,,
rat_present,individual_events,5.883888889,1.0,357.0,individual_behavior,,
rat_present,individual_events,5.900833333,14.0,418.0,individual_behavior,,
control,individual_events,5.958055556,1.0,624.0,individual_behavior,,
control,individual_events,5.960277778,0.04722604,632.0,individual_behavior,,
control,individual_events,5.965555556,0.022571773,651.0,individual_behavior,,
rat_present,individual_events,2.135,68.0,19.0,individual_behavior,,
rat_present,individual_events,2.135833333,6.0,22.0,individual_behavior,,
rat_present,individual_events,2.137777778,2.0,29.0,individual_behavior,,
rat_present,individual_events,2.142222222,8.0,45.0,individual_behavior,,
rat_present,individual_events,2.148055556,5.0,66.0,individual_behavior,,
rat_present,individual_events,2.150833333,2.0,76.0,individual_behavior,,
rat_present,individual_events,2.154166667,15.0,88.0,individual_behavior,,
rat_present,individual_events,2.157777778,4.0,101.0,individual_behavior,,
rat_present,individual_events,3.148055556,15.0,16.0,individual_behavior,,
rat_present,individual_events,3.152777778,18.0,33.0,individual_behavior,,
control,individual_events,3.161666667,3.0,65.0,individual_behavior,,
rat_present,individual_events,3.166111111,13.0,81.0,individual_behavior,,
rat_present,individual_events,3.166111111,14.0,81.0,individual_behavior,,
rat_present,individual_events,3.169166667,10.0,92.0,individual_behavior,,
control,individual_events,3.178055556,1.0,124.0,individual_behavior,,
rat_present,individual_events,3.178611111,7.0,126.0,individual_behavior,,
control,individual_events,3.199722222,3.0,202.0,individual_behavior,,
control,individual_events,3.203333333,1.0,215.0,individual_behavior,,
rat_present,individual_events,3.219722222,23.0,274.0,individual_behavior,,
control,individual_events,3.228611111,0.078814418,306.0,individual_behavior,,
control,individual_events,3.23,1.0,311.0,individual_behavior,,
control,individual_events,3.231944444,4.0,318.0,individual_behavior,,
rat_present,individual_events,3.233055556,5.0,322.0,individual_behavior,,
control,individual_events,3.234166667,3.0,326.0,individual_behavior,,
control,individual_events,3.238055556,2.0,340.0,individual_behavior,,
rat_present,individual_events,3.238888889,55.0,343.0,individual_behavior,,
control,individual_events,3.2525,3.0,392.0,individual_behavior,,
control,individual_events,3.256388889,3.0,406.0,individual_behavior,,
control,individual_events,3.268333333,1.0,449.0,individual_behavior,,
rat_present,individual_events,3.287777778,65.0,519.0,individual_behavior,,
rat_present,individual_events,3.298055556,275.0,556.0,individual_behavior,,
rat_present,individual_events,3.308611111,2.0,594.0,individual_behavior,,
rat_present,individual_events,3.310833333,2.0,602.0,individual_behavior,,
rat_present,individual_events,3.313888889,1.0,613.0,individual_behavior,,
rat_present,individual_events,3.32,18.0,635.0,individual_behavior,,
control,individual_events,3.805,0.028315379,22.0,individual_behavior,,
rat_present,individual_events,3.809166667,6.0,37.0,individual_behavior,,
rat_present,individual_events,3.811666667,9.0,46.0,individual_behavior,,
control,individual_events,3.823055556,2.0,87.0,individual_behavior,,
control,individual_events,3.825555556,8.0,96.0,individual_behavior,,
control,individual_events,3.829444444,6.0,110.0,individual_behavior,,
control,individual_events,3.874722222,6.0,273.0,individual_behavior,,
control,individual_events,3.8775,0.039556377,283.0,individual_behavior,,
rat_present,individual_events,5.126111111,7.0,10.0,individual_behavior,,
control,individual_events,5.141388889,4.0,65.0,individual_behavior,,
rat_present,individual_events,5.143333333,0.02018894,72.0,individual_behavior,,
rat_present,individual_events,5.148611111,47.0,91.0,individual_behavior,,
rat_present,individual_events,5.159166667,35.0,129.0,individual_behavior,,
rat_present,individual_events,5.161666667,13.0,138.0,individual_behavior,,
rat_present,individual_events,5.168888889,12.0,164.0,individual_behavior,,
rat_present,individual_events,5.174166667,20.0,183.0,individual_behavior,,
rat_present,individual_events,5.175277778,9.0,187.0,individual_behavior,,
rat_present,individual_events,5.178611111,21.0,199.0,individual_behavior,,
rat_present,individual_events,5.186111111,1.0,226.0,individual_behavior,,
