condition,dataset_source,hours_after_sunset,bat_landing_to_food,seconds_after_rat_arrival,metric_type,bat_landing_number,food_availability
control,individual_events,2.772222222,2.0,12.0,individual_behavior,,
control,individual_events,5.601666667,1.0,0.0,individual_behavior,,
rat_present,individual_events,5.631388889,28.0,107.0,individual_behavior,,
rat_present,individual_events,5.698611111,2.0,349.0,individual_behavior,,
control,individual_events,5.708055556,0.071239584,383.0,individual_behavior,,
rat_present,individual_events,6.516666667,11.0,25.0,individual_behavior,,
rat_present,individual_events,6.933055556,5.0,121.0,individual_behavior,,
control,individual_events,6.941111111,0.033235649,150.0,individual_behavior,,
control,individual_events,6.947222222,3.0,172.0,individual_behavior,,
rat_present,individual_events,7.027222222,15.0,460.0,individual_behavior,,
control,individual_events,7.033333333,1.0,482.0,individual_behavior,,
rat_present,individual_events,7.060555556,1.0,580.0,individual_behavior,,
rat_present,individual_events,7.0625,17.0,587.0,individual_behavior,,
control,individual_events,7.066944444,0.0502264,603.0,individual_behavior,,
rat_present,individual_events,7.071388889,4.0,619.0,individual_behavior,,
control,individual_events,7.071944444,1.0,621.0,individual_behavior,,
control,individual_events,7.074166667,0.057320093,629.0,individual_behavior,,
rat_present,individual_events,7.073888889,2.0,628.0,individual_behavior,,
control,individual_events,7.076666667,2.0,638.0,individual_behavior,,
control,individual_events,8.218611111,1.0,261.0,individual_behavior,,
rat_present,individual_events,8.223611111,6.0,279.0,individual_behavior,,
control,individual_events,10.69888889,4.0,285.0,individual_behavior,,
control,individual_events,5.695,17.0,336.0,individual_behavior,,
control,individual_events,3.885833333,41.0,133.0,individual_behavior,,
rat_present,individual_events,4.518888889,4.0,629.0,individual_behavior,,
control,individual_events,7.067777778,5.0,45.0,individual_behavior,,
rat_present,individual_events,7.870833333,10.0,234.0,individual_behavior,,
rat_present,individual_events,8.3525,23.0,423.0,individual_behavior,,
rat_present,individual_events,9.072777778,2.0,158.0,individual_behavior,,
rat_present,individual_events,9.085277778,5.0,203.0,individual_behavior,,
rat_present,individual_events,9.3475,42.0,108.0,individual_behavior,,
control,individual_events,10.14583333,10.0,149.0,individual_behavior,,
rat_present,individual_events,10.15638889,2.0,187.0,individual_behavior,,
rat_present,individual_events,7.867222222,30.0,221.0,individual_behavior,,
rat_present,individual_events,9.098888889,50.0,252.0,individual_behavior,,
control,individual_events,6.223055556,31.0,230.0,individual_behavior,,
rat_present,individual_events,7.122777778,3.0,10.0,individual_behavior,,
control,individual_events,7.136944444,2.0,61.0,individual_behavior,,
control,individual_events,7.156666667,1.0,132.0,individual_behavior,,
control,individual_events,7.158055556,4.0,137.0,individual_behavior,,
control,individual_events,7.16,5.0,144.0,individual_behavior,,
control,individual_events,7.208333333,21.0,318.0,individual_behavior,,
control,individual_events,7.221944444,7.0,367.0,individual_behavior,,
control,individual_events,7.225,23.0,378.0,individual_behavior,,
control,individual_events,7.953888889,1.0,78.0,individual_behavior,,
rat_present,individual_events,8.066388889,8.0,483.0,individual_behavior,,
rat_present,individual_events,8.079444444,8.0,530.0,individual_behavior,,
control,individual_events,-0.198611111,4.0,618.0,individual_behavior,,
control,individual_events,-0.175,1.0,703.0,individual_behavior,,
control,individual_events,-0.109444444,1.0,939.0,individual_behavior,,
control,individual_events,2.120277778,1.0,62.0,individual_behavior,,
control,individual_events,2.226111111,1.0,443.0,individual_behavior,,
control,individual_events,2.833888889,4.0,275.0,individual_behavior,,
control,individual_events,3.858611111,23.0,261.0,individual_behavior,,
control,individual_events,4.592777778,10.0,130.0,individual_behavior,,
control,individual_events,5.434166667,2.0,10.0,individual_behavior,,
rat_present,individual_events,5.434722222,19.0,12.0,individual_behavior,,
control,individual_events,5.470833333,1.0,142.0,individual_behavior,,
rat_present,individual_events,5.488055556,106.0,204.0,individual_behavior,,
rat_present,individual_events,5.501666667,2.0,253.0,individual_behavior,,
rat_present,individual_events,5.509166667,6.0,280.0,individual_behavior,,
control,individual_events,5.523055556,5.0,330.0,individual_behavior,,
rat_present,individual_events,5.541388889,20.0,396.0,individual_behavior,,
control,individual_events,5.544722222,22.0,408.0,individual_behavior,,
control,individual_events,5.551666667,7.0,433.0,individual_behavior,,
rat_present,individual_events,5.605555556,4.0,627.0,individual_behavior,,
rat_present,individual_events,6.248333333,2.0,99.0,individual_behavior,,
control,individual_events,6.9525,5.0,249.0,individual_behavior,,
rat_present,individual_events,6.995555556,0.010871342,404.0,individual_behavior,,
rat_present,individual_events,7.008055556,4.0,449.0,individual_behavior,,
rat_present,individual_events,7.016944444,6.0,481.0,individual_behavior,,
control,individual_events,7.519722222,30.0,394.0,individual_behavior,,
control,individual_events,8.5025,1.0,23.0,individual_behavior,,
rat_present,individual_events,9.026111111,23.0,489.0,individual_behavior,,
control,individual_events,9.813055556,0.019932178,110.0,individual_behavior,,
rat_present,individual_events,5.513611111,22.0,296.0,individual_behavior,,
rat_present,individual_events,6.92,443.0,132.0,individual_behavior,,
rat_present,individual_events,7.024166667,7.0,507.0,individual_behavior,,
rat_present,individual_events,5.644166667,4.0,78.0,individual_behavior,,
control,individual_events,7.147777778,2.0,48.0,individual_behavior,,
control,individual_events,7.168611111,7.0,123.0,individual_behavior,,
rat_present,individual_events,7.179166667,5.0,161.0,individual_behavior,,
control,individual_events,7.794166667,3.0,31.0,individual_behavior,,
rat_present,individual_events,9.301111111,3.0,29.0,individual_behavior,,
rat_present,individual_events,9.311388889,44.0,66.0,individual_behavior,,
control,individual_events,2.702222222,4.0,15.0,individual_behavior,,
control,individual_events,2.727222222,1.0,105.0,individual_behavior,,
rat_present,individual_events,2.758611111,7.0,218.0,individual_behavior,,
rat_present,individual_events,2.761388889,24.0,228.0,individual_behavior,,
rat_present,individual_events,4.505833333,22.0,87.0,individual_behavior,,
rat_present,individual_events,7.314722222,2.0,627.0,individual_behavior,,
rat_present,individual_events,7.326666667,21.0,670.0,individual_behavior,,
rat_present,individual_events,7.336388889,8.0,705.0,individual_behavior,,
rat_present,individual_events,9.059444444,8.0,331.0,individual_behavior,,
control,individual_events,6.753888889,10.0,91.0,individual_behavior,,
control,individual_events,3.234444444,1.0,247.0,individual_behavior,,
rat_present,individual_events,3.235833333,9.0,252.0,individual_behavior,,
rat_present,individual_events,3.272222222,4.0,383.0,individual_behavior,,
rat_present,individual_events,4.299166667,3.0,28.0,individual_behavior,,
rat_present,individual_events,4.306388889,1.0,54.0,individual_behavior,,
rat_present,individual_events,4.388055556,11.0,348.0,individual_behavior,,
rat_present,individual_events,4.396388889,34.0,378.0,individual_behavior,,
rat_present,individual_events,4.438333333,16.0,529.0,individual_behavior,,
control,individual_events,-0.261666667,0.068724243,121.0,individual_behavior,,
control,individual_events,9.5375,1.0,23.0,individual_behavior,,
rat_present,individual_events,3.736111111,83.0,116.0,individual_behavior,,
control,individual_events,3.574166667,0.062303811,15.0,individual_behavior,,
rat_present,individual_events,2.593888889,31.0,126.0,individual_behavior,,
control,individual_events,7.299722222,16.0,151.0,individual_behavior,,
rat_present,individual_events,2.311111111,8.0,624.0,individual_behavior,,
rat_present,individual_events,5.373888889,35.0,455.0,individual_behavior,,
rat_present,individual_events,7.338888889,26.0,271.0,individual_behavior,,
rat_present,individual_events,7.39,43.0,455.0,individual_behavior,,
control,individual_events,5.253333333,1.0,21.0,individual_behavior,,
rat_present,individual_events,5.330833333,34.0,300.0,individual_behavior,,
control,individual_events,7.348611111,7.0,306.0,individual_behavior,,
rat_present,individual_events,7.918055556,14.0,111.0,individual_behavior,,
rat_present,individual_events,4.769444444,36.0,0.0,individual_behavior,,
control,individual_events,4.773888889,4.0,16.0,individual_behavior,,
rat_present,individual_events,4.780833333,19.0,41.0,individual_behavior,,
rat_present,individual_events,4.783333333,4.0,50.0,individual_behavior,,
rat_present,individual_events,4.806666667,14.0,134.0,individual_behavior,,
rat_present,individual_events,4.823611111,29.0,195.0,individual_behavior,,
control,individual_events,5.150555556,0.095162728,11.0,individual_behavior,,
rat_present,individual_events,5.202777778,82.0,199.0,individual_behavior,,
control,individual_events,5.214444444,3.0,241.0,individual_behavior,,
control,individual_events,5.216944444,0.042360901,250.0,individual_behavior,,
control,individual_events,5.222777778,2.0,271.0,individual_behavior,,
rat_present,individual_events,5.224166667,3.0,276.0,individual_behavior,,
control,individual_events,5.231944444,2.0,304.0,individual_behavior,,
rat_present,individual_events,5.245277778,8.0,352.0,individual_behavior,,
rat_present,individual_events,5.290555556,104.0,515.0,individual_behavior,,
rat_present,individual_events,5.327777778,4.0,649.0,individual_behavior,,
rat_present,individual_events,5.351111111,30.0,733.0,individual_behavior,,
rat_present,individual_events,5.375,18.0,819.0,individual_behavior,,
control,individual_events,5.394444444,2.0,889.0,individual_behavior,,
rat_present,individual_events,5.406388889,8.0,932.0,individual_behavior,,
rat_present,individual_events,5.408055556,52.0,938.0,individual_behavior,,
control,individual_events,7.231111111,2.0,1.0,individual_behavior,,
control,individual_events,8.188055556,4.0,386.0,individual_behavior,,
rat_present,individual_events,8.608611111,7.0,257.0,individual_behavior,,
control,individual_events,8.619166667,4.0,295.0,individual_behavior,,
rat_present,individual_events,10.37722222,19.0,125.0,individual_behavior,,
rat_present,individual_events,4.786666667,1.0,62.0,individual_behavior,,
control,individual_events,4.827777778,5.0,210.0,individual_behavior,,
control,individual_events,5.196666667,2.0,177.0,individual_behavior,,
control,individual_events,5.252222222,13.0,377.0,individual_behavior,,
rat_present,individual_events,5.274722222,61.0,458.0,individual_behavior,,
control,individual_events,5.401666667,1.0,915.0,individual_behavior,,
rat_present,individual_events,5.4025,40.0,918.0,individual_behavior,,
rat_present,individual_events,3.194166667,8.0,118.0,individual_behavior,,
control,individual_events,4.696111111,81.0,43.0,individual_behavior,,
rat_present,individual_events,5.929166667,26.0,482.0,individual_behavior,,
rat_present,individual_events,10.21861111,4.0,11.0,individual_behavior,,
control,individual_events,8.131944444,14.0,140.0,individual_behavior,,
rat_present,individual_events,-0.015277778,6.0,260.0,individual_behavior,,
rat_present,individual_events,0.530555556,3.0,9.0,individual_behavior,,
rat_present,individual_events,0.542222222,1.0,51.0,individual_behavior,,
rat_present,individual_events,0.568611111,1.0,146.0,individual_behavior,,
control,individual_events,1.670555556,18.0,89.0,individual_behavior,,
rat_present,individual_events,1.680277778,1.0,124.0,individual_behavior,,
rat_present,individual_events,1.733888889,4.0,317.0,individual_behavior,,
control,individual_events,2.652222222,29.0,348.0,individual_behavior,,
control,individual_events,3.592777778,1.0,293.0,individual_behavior,,
rat_present,individual_events,3.868611111,16.0,5.0,individual_behavior,,
control,individual_events,3.991666667,2.0,448.0,individual_behavior,,
control,individual_events,3.9925,1.0,451.0,individual_behavior,,
control,individual_events,4.643055556,56.0,379.0,individual_behavior,,
rat_present,individual_events,8.133333333,13.0,453.0,individual_behavior,,
rat_present,individual_events,8.164722222,1.0,566.0,individual_behavior,,
control,individual_events,8.181111111,1.0,625.0,individual_behavior,,
rat_present,individual_events,8.500833333,20.0,137.0,individual_behavior,,
rat_present,individual_events,2.595833333,14.0,264.0,individual_behavior,,
rat_present,individual_events,3.425555556,15.0,90.0,individual_behavior,,
rat_present,individual_events,3.522777778,23.0,44.0,individual_behavior,,
control,individual_events,4.048888889,1.0,62.0,individual_behavior,,
rat_present,individual_events,6.581111111,1.0,116.0,individual_behavior,,
rat_present,individual_events,6.581666667,3.0,118.0,individual_behavior,,
rat_present,individual_events,6.605,16.0,202.0,individual_behavior,,
rat_present,individual_events,6.607222222,27.0,210.0,individual_behavior,,
rat_present,individual_events,6.623888889,0.092315438,270.0,individual_behavior,,
rat_present,individual_events,6.731388889,16.0,657.0,individual_behavior,,
rat_present,individual_events,6.766388889,5.0,783.0,individual_behavior,,
rat_present,individual_events,7.871944444,12.0,377.0,individual_behavior,,
control,individual_events,8.258055556,1.0,536.0,individual_behavior,,
rat_present,individual_events,8.263888889,1.0,557.0,individual_behavior,,
control,individual_events,8.270555556,2.0,581.0,individual_behavior,,
rat_present,individual_events,8.309444444,12.0,721.0,individual_behavior,,
control,individual_events,8.312777778,1.0,733.0,individual_behavior,,
control,individual_events,8.313888889,3.0,737.0,individual_behavior,,
rat_present,individual_events,8.331944444,50.0,802.0,individual_behavior,,
control,individual_events,8.368888889,1.0,935.0,individual_behavior,,
rat_present,individual_events,9.138611111,37.0,188.0,individual_behavior,,
control,individual_events,9.717222222,1.0,737.0,individual_behavior,,
rat_present,individual_events,9.7225,5.0,756.0,individual_behavior,,
control,individual_events,9.736944444,8.0,808.0,individual_behavior,,
rat_present,individual_events,10.07083333,19.0,91.0,individual_behavior,,
control,individual_events,2.761944444,0.060691217,862.0,individual_behavior,,
control,individual_events,8.311666667,0.0892831,729.0,individual_behavior,,
control,individual_events,9.747222222,11.0,845.0,individual_behavior,,
control,individual_events,9.751666667,18.0,861.0,individual_behavior,,
control,individual_events,9.7575,6.0,882.0,individual_behavior,,
rat_present,individual_events,1.044166667,6.0,54.0,individual_behavior,,
control,individual_events,1.353055556,10.0,275.0,individual_behavior,,
rat_present,individual_events,1.455833333,17.0,645.0,individual_behavior,,
rat_present,individual_events,3.060555556,33.0,131.0,individual_behavior,,
control,individual_events,3.172777778,8.0,28.0,individual_behavior,,
control,individual_events,3.176944444,1.0,43.0,individual_behavior,,
rat_present,individual_events,4.226111111,16.0,167.0,individual_behavior,,
control,individual_events,5.337222222,195.0,107.0,individual_behavior,,
rat_present,individual_events,5.658888889,14.0,695.0,individual_behavior,,
control,individual_events,5.678611111,19.0,766.0,individual_behavior,,
control,individual_events,6.658055556,2.0,13.0,individual_behavior,,
rat_present,individual_events,6.702222222,46.0,172.0,individual_behavior,,
control,individual_events,6.719166667,2.0,233.0,individual_behavior,,
control,individual_events,7.392222222,1.0,81.0,individual_behavior,,
rat_present,individual_events,8.043888889,1.0,179.0,individual_behavior,,
rat_present,individual_events,8.06,18.0,237.0,individual_behavior,,
control,individual_events,8.441944444,35.0,117.0,individual_behavior,,
rat_present,individual_events,9.289166667,38.0,537.0,individual_behavior,,
rat_present,individual_events,-0.1675,1.0,790.0,individual_behavior,,
rat_present,individual_events,-0.1525,39.0,844.0,individual_behavior,,
rat_present,individual_events,-0.128611111,4.0,930.0,individual_behavior,,
rat_present,individual_events,0.949166667,2.0,43.0,individual_behavior,,
rat_present,individual_events,1.61,0.042337019,40.0,individual_behavior,,
control,individual_events,2.527777778,23.0,199.0,individual_behavior,,
rat_present,individual_events,4.460277778,22.0,200.0,individual_behavior,,
rat_present,individual_events,4.476944444,29.0,260.0,individual_behavior,,
control,individual_events,4.495277778,28.0,326.0,individual_behavior,,
rat_present,individual_events,4.833888889,5.0,153.0,individual_behavior,,
rat_present,individual_events,5.003611111,18.0,764.0,individual_behavior,,
rat_present,individual_events,5.006388889,20.0,774.0,individual_behavior,,
rat_present,individual_events,6.598055556,0.018395555,9.0,individual_behavior,,
control,individual_events,6.7025,4.0,385.0,individual_behavior,,
rat_present,individual_events,6.735833333,11.0,505.0,individual_behavior,,
control,individual_events,6.739722222,4.0,519.0,individual_behavior,,
control,individual_events,6.749722222,10.0,555.0,individual_behavior,,
rat_present,individual_events,7.594722222,36.0,106.0,individual_behavior,,
rat_present,individual_events,7.604722222,10.0,142.0,individual_behavior,,
rat_present,individual_events,7.608888889,76.0,157.0,individual_behavior,,
control,individual_events,7.610833333,1.0,164.0,individual_behavior,,
control,individual_events,7.634166667,5.0,248.0,individual_behavior,,
rat_present,individual_events,7.675,67.0,395.0,individual_behavior,,
rat_present,individual_events,7.699722222,45.0,484.0,individual_behavior,,
control,individual_events,7.717222222,0.062233499,547.0,individual_behavior,,
rat_present,individual_events,7.73,6.0,593.0,individual_behavior,,
control,individual_events,7.7375,8.0,620.0,individual_behavior,,
rat_present,individual_events,7.741944444,5.0,636.0,individual_behavior,,
rat_present,individual_events,7.790277778,8.0,810.0,individual_behavior,,
rat_present,individual_events,7.981388889,4.0,23.0,individual_behavior,,
rat_present,individual_events,8.933333333,2.0,224.0,individual_behavior,,
control,individual_events,8.9475,1.0,275.0,individual_behavior,,
control,individual_events,8.957222222,22.0,310.0,individual_behavior,,
control,individual_events,4.498888889,2.0,339.0,individual_behavior,,
rat_present,individual_events,10.2975,120.0,143.0,individual_behavior,,
control,time_series,-0.5,,,aggregate_behavior,20.0,4.0
control,time_series,0.0,,,aggregate_behavior,28.0,4.0
control,time_series,0.5,,,aggregate_behavior,25.0,4.0
control,time_series,1.0,,,aggregate_behavior,71.0,4.0
control,time_series,1.5,,,aggregate_behavior,44.0,3.753856942
control,time_series,2.0,,,aggregate_behavior,44.0,3.147265077
control,time_series,2.5,,,aggregate_behavior,41.0,3.0
control,time_series,3.0,,,aggregate_behavior,54.0,3.0
control,time_series,3.5,,,aggregate_behavior,32.0,3.0
rat_present,time_series,4.0,,,aggregate_behavior,51.0,2.968873797
rat_present,time_series,4.5,,,aggregate_behavior,53.0,2.561403509
rat_present,time_series,5.0,,,aggregate_behavior,47.0,2.086587436
rat_present,time_series,5.5,,,aggregate_behavior,75.0,2.0
control,time_series,6.0,,,aggregate_behavior,45.0,1.958064516
control,time_series,6.5,,,aggregate_behavior,30.0,1.55
control,time_series,7.0,,,aggregate_behavior,44.0,1.049289229
control,time_series,7.5,,,aggregate_behavior,30.0,0.542372881
control,time_series,8.0,,,aggregate_behavior,26.0,0.144067797
rat_present,time_series,8.5,,,aggregate_behavior,16.0,0.0
rat_present,time_series,9.0,,,aggregate_behavior,13.0,0.0
control,time_series,9.5,,,aggregate_behavior,17.0,0.0
control,time_series,10.0,,,aggregate_behavior,15.0,0.0
control,time_series,10.5,,,aggregate_behavior,14.0,0.0
control,time_series,11.0,,,aggregate_behavior,13.0,0.0
control,time_series,-0.5,,,aggregate_behavior,13.0,4.0
control,time_series,0.0,,,aggregate_behavior,18.0,4.0
control,time_series,0.5,,,aggregate_behavior,31.0,4.0
control,time_series,1.0,,,aggregate_behavior,35.0,4.0
control,time_series,1.5,,,aggregate_behavior,22.0,4.0
control,time_series,2.0,,,aggregate_behavior,24.0,3.964516129
control,time_series,2.5,,,aggregate_behavior,30.0,3.566666667
control,time_series,3.0,,,aggregate_behavior,73.0,3.102150538
control,time_series,3.5,,,aggregate_behavior,67.0,3.0
control,time_series,4.0,,,aggregate_behavior,2.0,3.0
control,time_series,4.5,,,aggregate_behavior,25.0,3.0
control,time_series,5.0,,,aggregate_behavior,48.0,2.970430108
control,time_series,5.5,,,aggregate_behavior,52.0,2.583333333
control,time_series,6.0,,,aggregate_behavior,61.0,2.112903226
control,time_series,6.5,,,aggregate_behavior,17.0,2.0
control,time_series,7.0,,,aggregate_behavior,12.0,2.0
control,time_series,7.5,,,aggregate_behavior,11.0,2.0
rat_present,time_series,8.0,,,aggregate_behavior,34.0,1.953405018
control,time_series,8.5,,,aggregate_behavior,40.0,1.555555556
control,time_series,9.0,,,aggregate_behavior,37.0,1.107526882
control,time_series,9.5,,,aggregate_behavior,34.0,1.0
control,time_series,10.0,,,aggregate_behavior,23.0,1.0
control,time_series,10.5,,,aggregate_behavior,21.0,1.0
rat_present,time_series,11.0,,,aggregate_behavior,5.0,0.971774194
rat_present,time_series,11.5,,,aggregate_behavior,11.0,0.730769231
control,time_series,12.0,,,aggregate_behavior,3.0,0.442307692
control,time_series,-0.5,,,aggregate_behavior,8.0,4.0
control,time_series,0.0,,,aggregate_behavior,3.0,4.0
control,time_series,0.5,,,aggregate_behavior,24.0,4.0
control,time_series,1.0,,,aggregate_behavior,23.0,4.0
control,time_series,1.5,,,aggregate_behavior,48.0,4.0
control,time_series,2.0,,,aggregate_behavior,55.0,3.962648557
rat_present,time_series,2.5,,,aggregate_behavior,23.0,3.543859649
rat_present,time_series,3.0,,,aggregate_behavior,23.0,3.07696661
control,time_series,3.5,,,aggregate_behavior,32.0,3.0
control,time_series,4.0,,,aggregate_behavior,29.0,3.0
control,time_series,4.5,,,aggregate_behavior,50.0,3.0
control,time_series,5.0,,,aggregate_behavior,49.0,2.951877314
control,time_series,5.5,,,aggregate_behavior,57.0,2.540983607
control,time_series,6.0,,,aggregate_behavior,66.0,2.090428345
control,time_series,6.5,,,aggregate_behavior,52.0,2.0
control,time_series,7.0,,,aggregate_behavior,42.0,2.0
control,time_series,7.5,,,aggregate_behavior,29.0,2.0
control,time_series,8.0,,,aggregate_behavior,38.0,1.951075269
control,time_series,8.5,,,aggregate_behavior,44.0,1.533333333
control,time_series,9.0,,,aggregate_behavior,23.0,1.082258065
control,time_series,9.5,,,aggregate_behavior,25.0,1.0
control,time_series,10.0,,,aggregate_behavior,31.0,0.947076613
control,time_series,10.5,,,aggregate_behavior,24.0,0.546875
rat_present,time_series,11.0,,,aggregate_behavior,18.0,0.15625
control,time_series,11.5,,,aggregate_behavior,3.0,0.0
control,time_series,12.0,,,aggregate_behavior,6.0,0.0
control,time_series,-2.0,,,aggregate_behavior,7.0,4.0
control,time_series,-1.5,,,aggregate_behavior,1.0,4.0
control,time_series,-1.0,,,aggregate_behavior,1.0,4.0
control,time_series,-0.5,,,aggregate_behavior,6.0,4.0
control,time_series,0.0,,,aggregate_behavior,7.0,4.0
control,time_series,0.5,,,aggregate_behavior,14.0,4.0
control,time_series,1.0,,,aggregate_behavior,14.0,4.0
rat_present,time_series,1.5,,,aggregate_behavior,9.0,4.0
control,time_series,2.0,,,aggregate_behavior,19.0,3.949388209
control,time_series,2.5,,,aggregate_behavior,26.0,3.517241379
control,time_series,3.0,,,aggregate_behavior,29.0,3.066740823
control,time_series,3.5,,,aggregate_behavior,15.0,3.0
control,time_series,4.0,,,aggregate_behavior,67.0,3.0
control,time_series,4.5,,,aggregate_behavior,56.0,3.0
control,time_series,5.0,,,aggregate_behavior,45.0,3.0
control,time_series,5.5,,,aggregate_behavior,60.0,3.0
control,time_series,6.0,,,aggregate_behavior,59.0,3.0
rat_present,time_series,6.5,,,aggregate_behavior,40.0,3.0
control,time_series,7.0,,,aggregate_behavior,49.0,2.939516129
control,time_series,7.5,,,aggregate_behavior,42.0,2.53125
control,time_series,8.0,,,aggregate_behavior,39.0,2.057747696
control,time_series,8.5,,,aggregate_behavior,47.0,1.535714286
control,time_series,9.0,,,aggregate_behavior,30.0,1.069124424
control,time_series,9.5,,,aggregate_behavior,41.0,1.0
control,time_series,10.0,,,aggregate_behavior,34.0,1.0
control,time_series,10.5,,,aggregate_behavior,23.0,1.0
control,time_series,11.0,,,aggregate_behavior,13.0,0.943074004
control,time_series,11.5,,,aggregate_behavior,16.0,0.558823529
control,time_series,12.0,,,aggregate_behavior,7.0,0.169117647
control,time_series,12.5,,,aggregate_behavior,7.0,0.0
control,time_series,13.0,,,aggregate_behavior,5.0,0.0
control,time_series,13.5,,,aggregate_behavior,1.0,0.0
control,time_series,-2.0,,,aggregate_behavior,10.0,0.0
control,time_series,-1.5,,,aggregate_behavior,14.0,0.0
control,time_series,-1.0,,,aggregate_behavior,3.0,0.0
control,time_series,-0.5,,,aggregate_behavior,3.0,0.0
control,time_series,0.0,,,aggregate_behavior,21.0,4.0
control,time_series,0.5,,,aggregate_behavior,32.0,4.0
control,time_series,1.0,,,aggregate_behavior,13.0,4.0
rat_present,time_series,1.5,,,aggregate_behavior,36.0,4.0
control,time_series,2.0,,,aggregate_behavior,20.0,3.955857385
control,time_series,2.5,,,aggregate_behavior,35.0,3.526315789
rat_present,time_series,3.0,,,aggregate_behavior,37.0,3.067911715
control,time_series,3.5,,,aggregate_behavior,33.0,3.0
control,time_series,4.0,,,aggregate_behavior,39.0,3.0
control,time_series,4.5,,,aggregate_behavior,25.0,3.0
control,time_series,5.0,,,aggregate_behavior,10.0,3.0
control,time_series,5.5,,,aggregate_behavior,64.0,3.0
control,time_series,6.0,,,aggregate_behavior,41.0,3.0
control,time_series,6.5,,,aggregate_behavior,5.0,3.0
control,time_series,7.0,,,aggregate_behavior,31.0,2.943548387
control,time_series,7.5,,,aggregate_behavior,45.0,2.516666667
control,time_series,8.0,,,aggregate_behavior,42.0,2.07311828
control,time_series,8.5,,,aggregate_behavior,53.0,2.0
control,time_series,9.0,,,aggregate_behavior,45.0,2.0
control,time_series,9.5,,,aggregate_behavior,27.0,2.0
control,time_series,10.0,,,aggregate_behavior,24.0,1.957353745
control,time_series,10.5,,,aggregate_behavior,26.0,1.542372881
control,time_series,11.0,,,aggregate_behavior,17.0,1.083652269
control,time_series,11.5,,,aggregate_behavior,8.0,1.0
control,time_series,12.0,,,aggregate_behavior,12.0,1.0
control,time_series,12.5,,,aggregate_behavior,6.0,1.0
control,time_series,13.5,,,aggregate_behavior,5.0,1.0
control,time_series,-1.0,,,aggregate_behavior,1.0,4.0
control,time_series,-0.5,,,aggregate_behavior,15.0,4.0
control,time_series,0.0,,,aggregate_behavior,4.0,4.0
control,time_series,0.5,,,aggregate_behavior,3.0,4.0
control,time_series,1.0,,,aggregate_behavior,14.0,4.0
control,time_series,1.5,,,aggregate_behavior,14.0,3.723839496
control,time_series,2.0,,,aggregate_behavior,31.0,3.094413847
control,time_series,2.5,,,aggregate_behavior,22.0,3.0
control,time_series,3.0,,,aggregate_behavior,19.0,3.0
control,time_series,3.5,,,aggregate_behavior,29.0,3.0
control,time_series,4.0,,,aggregate_behavior,24.0,3.0
control,time_series,4.5,,,aggregate_behavior,38.0,3.0
control,time_series,5.0,,,aggregate_behavior,20.0,3.0
control,time_series,5.5,,,aggregate_behavior,17.0,3.0
control,time_series,6.0,,,aggregate_behavior,18.0,2.92688172
control,time_series,6.5,,,aggregate_behavior,28.0,2.483333333
control,time_series,7.0,,,aggregate_behavior,45.0,2.056451613
control,time_series,7.5,,,aggregate_behavior,34.0,2.0
control,time_series,8.0,,,aggregate_behavior,35.0,2.0
control,time_series,8.5,,,aggregate_behavior,31.0,2.0
rat_present,time_series,9.0,,,aggregate_behavior,18.0,1.92688172
control,time_series,9.5,,,aggregate_behavior,27.0,1.483333333
control,time_series,10.0,,,aggregate_behavior,38.0,1.056451613
control,time_series,10.5,,,aggregate_behavior,54.0,1.0
control,time_series,11.0,,,aggregate_behavior,13.0,1.0
control,time_series,11.5,,,aggregate_behavior,8.0,1.0
control,time_series,12.0,,,aggregate_behavior,27.0,1.0
control,time_series,12.5,,,aggregate_behavior,22.0,1.0
rat_present,time_series,13.0,,,aggregate_behavior,4.0,1.0
control,time_series,13.5,,,aggregate_behavior,2.0,0.0
control,time_series,-0.5,,,aggregate_behavior,9.0,4.0
control,time_series,0.0,,,aggregate_behavior,18.0,4.0
control,time_series,0.5,,,aggregate_behavior,12.0,4.0
control,time_series,1.0,,,aggregate_behavior,17.0,4.0
control,time_series,1.5,,,aggregate_behavior,29.0,4.0
control,time_series,2.0,,,aggregate_behavior,37.0,3.94160178
control,time_series,2.5,,,aggregate_behavior,32.0,3.5
control,time_series,3.0,,,aggregate_behavior,25.0,3.05839822
control,time_series,3.5,,,aggregate_behavior,16.0,3.0
control,time_series,4.0,,,aggregate_behavior,62.0,3.0
control,time_series,4.5,,,aggregate_behavior,42.0,3.0
control,time_series,5.0,,,aggregate_behavior,49.0,3.0
control,time_series,5.5,,,aggregate_behavior,50.0,3.0
control,time_series,6.0,,,aggregate_behavior,66.0,2.920395421
control,time_series,6.5,,,aggregate_behavior,39.0,2.483870968
control,time_series,7.0,,,aggregate_behavior,52.0,2.062434964
control,time_series,7.5,,,aggregate_behavior,39.0,2.0
control,time_series,8.0,,,aggregate_behavior,23.0,2.0
control,time_series,8.5,,,aggregate_behavior,40.0,2.0
control,time_series,9.0,,,aggregate_behavior,34.0,1.837760911
control,time_series,9.5,,,aggregate_behavior,28.0,1.235294118
control,time_series,10.0,,,aggregate_behavior,32.0,0.0
control,time_series,10.5,,,aggregate_behavior,28.0,0.0
rat_present,time_series,11.0,,,aggregate_behavior,7.0,0.0
control,time_series,11.5,,,aggregate_behavior,5.0,0.0
control,time_series,12.0,,,aggregate_behavior,1.0,0.0
